token	weight	state_id
aiyrylu	203	51726
aiyrylyp	154	5759
aiyrylys	219	10516
aiyrylysqan	219	80036
aiyrylysu	215	72942
aiyrylysyp	166	10518
aiyrylğan	193	36172
aiyrym	220	82764
aiyryp	231	95966
aiyrysu	220	82840
aiyrğan	214	71290
aiyrşa	219	81323
aiyñ	201	48946
aiyğyp	205	54370
aizada	231	63865
aizadany	216	63867
aizadanyñ	210	63868
aizadağa	212	67680
aizat	231	71910
aizatpen	226	90005
aizatqa	217	77582
aizattyñ	214	71913
aizere	231	95122
aiğa	135	1599
aiğai	200	17858
aiğailap	177	17861
aiğan	206	57028
aiğanym	231	57988
aiğanymnyñ	209	61917
aiğanymğa	207	57990
aiğaq	210	63936
aiğyr	181	21197
aiğyz	214	71113
aişa	231	18575
aişanyñ	178	18578
aişuaq	191	33704
aişyqtau	229	93116
aişyqty	212	68473
aj	154	5450
aja	221	30190
ajal	189	30191
ajaly	211	66681
ajam	206	56419
ajan	228	91916
ajar	231	44553
ajara	199	44554
ajardyñ	201	48789
ajarly	209	62335
ajarmen	216	75010
ajarğa	199	45866
ajdaha	220	82579
ajeka	203	52125
ajyrady	224	88144
ajyramai	210	64760
ajyramas	188	29344
ajyrap	195	38867
ajyras	203	7483
ajyrasa	214	25017
ajyrasam	184	25018
ajyrasamyz	210	64998
ajyrasatyn	219	80827
ajyraspai	219	79886
ajyrasqan	183	23258
ajyrasqanmyn	218	78446
ajyrasty	215	73672
ajyrastym	218	78212
ajyrasu	196	40505
ajyrasuğa	203	52552
ajyrasyp	159	7485
ajyrata	231	41591
ajyratady	197	41593
ajyratqyş	227	90739
ajyratu	188	29506
ajyratyp	182	22471
ajyrau	229	92814
akademiia	231	42182
akademiiada	218	78356
akademiialyq	197	42569
akademiiasy	199	42184
akademiiasynyñ	197	42187
akademiiağa	216	75451
akademik	191	33743
akarys	200	46233
akasiia	208	60229
akataev	222	85376
akaunta	213	69512
akauntty	186	26749
akbar	175	15870
akbota	231	95555
akejan	195	39653
akerke	231	95482
akgul	185	25549
akima	193	9978
