token	weight	state_id
ءيسى	211	39783
ءيىت	197	31085
ءيىس	213	55552
ءيىسى	220	70093
ءييا	213	59004
ءپالە	223	85900
ءۇتىرىك	223	100286
ءۇتىپ	222	92253
ءۇتە	224	85557
ءۇرىمجى	211	40132
ءۇرىمجىدە	225	88352
ءۇرىمجىدەن	216	88353
ءۇرىمجىگە	202	40134
ءۇزى	195	20266
ءۇزىم	198	35361
ءۇزىپ	228	109763
ءۇزىڭ	184	20267
ءۇزىڭدى	217	54853
ءۇزىڭە	221	84015
ءۇستى	226	48197
ءۇستىپ	208	48198
ءۇش	147	3657
ءۇشىن	143	3659
ءۇشىنشى	194	29190
ءۇشەۋ	227	82700
ءۇشەۋى	223	82701
ءۇشەۋىمىز	222	88433
ءۇلكەن	227	109973
ءۇلىپ	225	106709
ءۇمىت	186	21218
ءۇمىر	210	60540
ءۇنحات	223	91855
ءۇنسىز	216	81083
ءۇي	150	4424
ءۇيتىپ	215	63755
ءۇيدى	195	19666
ءۇيدىڭ	187	19667
ءۇيدە	173	13061
ءۇيدەمىن	216	72006
ءۇيدەن	207	47612
ءۇيدەگى	221	74387
ءۇيدەگىلەر	224	108481
ءۇيى	199	33758
ءۇيىم	224	90700
ءۇيىن	219	50225
ءۇيىندە	217	66811
ءۇيىنە	206	50226
ءۇيىڭ	220	85191
ءۇيىڭە	222	87364
ءۇيگە	171	11396
ابات	226	77430
ابارىب	223	96825
ابارىپ	188	21228
اباق	217	80304
ابال	220	41726
ابالاما	226	41729
ابالاماشى	205	41731
ابالاماي	215	68661
ابالاپ	212	61734
ابام	223	92467
اباي	168	7325
ابايدى	226	44883
ابايدىڭ	206	44884
ابايسىزدا	221	75062
ابايعا	223	82281
ابايلا	185	7327
ابايلاشى	227	105370
ابايلاپ	157	7328
ابايلاڭدار	222	110024
ابايلاڭىز	225	105130
اباۋ	227	106260
ابتەن	224	104999
ابدان	219	69084
ابدوللا	227	97566
ابدەن	141	3262
ابزال	213	63274
ابستاي	178	13597
ابستايلار	221	71346
ابسن	223	37977
ابسندار	210	50974
ابسنم	228	102300
ابسنى	225	37978
ابسنىم	202	37979
ابسنىڭ	207	44042
ابسىن	188	21454
ابسىندار	215	62055
ابسىنىم	214	61977
ابسىنىڭ	217	80106
ابولدى	217	56506
ابوپتى	222	93031
ابىدەن	214	53702
ابىر	205	42177
ابىرجىپ	212	59541
ابىروي	203	42179
ابىرويدان	227	108256
ابىرويدى	223	98173
ابىرويىمدى	224	103000
ابىرويىن	219	76066
ابىرويىڭ	221	80562
ابىرويىڭدى	217	80564
